10;411.508;411.398;411.255
20;420.983;420.771;420.396
30;427.326;426.972;426.295
40;431.37;430.889;429.935
50;434.149;433.544;432.355
60;435.565;434.804;433.446
70;436.473;435.465;433.983
80;436.761;435.38;433.871
90;436.681;434.755;433.376
100;436.082;433.385;432.416
110;434.564;430.74;430.782
120;431.772;426.372;428.43
130;426.574;419.025;424.994
140;416.294;405.731;419.544
150;395.642;381.111;410.536
160;348.291;328.817;392.686
170;240.679;218.929;351.709
180;70.0262;59.6083;248.268
190;15.8637;17.0611;78.9542
200;61.05;63.7667;12.2
210;90.3776;94.5049;32.2069
220;93.7894;100.456;48.5914
230;83.5793;92.3774;51.4569
