10;406.517;406.476;406.426;406.364;406.288
20;414.409;414.394;414.344;414.246;414.089
30;420.029;420.042;420.004;419.883;419.645
40;424.523;424.556;424.534;424.394;424.073
50;428.044;428.09;428.08;427.923;427.524
60;430.561;430.598;430.582;430.396;429.92
70;432.607;432.624;432.584;432.354;431.803
80;434.069;434.041;433.943;433.643;433.016
90;435.146;435.029;434.818;434.396;433.68
100;436.004;435.763;435.39;434.803;433.997
110;436.641;436.239;435.643;434.828;433.922
120;436.984;436.343;435.424;434.281;433.254
130;437.184;436.21;434.843;433.248;432.08
140;437.233;435.819;433.856;431.652;430.321
150;437.125;435.099;432.313;429.268;427.753
160;436.819;434.01;430.167;426.032;424.315
170;436.272;432.386;427.094;421.46;419.527
180;435.535;430.334;423.257;415.762;413.619
190;434.435;427.495;418.06;408.107;405.772
200;432.866;423.699;411.27;398.237;395.792
210;430.791;418.889;402.811;386.079;383.613
220;428.025;412.779;392.318;371.276;368.936
230;424.518;405.47;380.171;354.583;352.493
240;420;396.696;366.207;336.074;334.367
250;414.707;387.075;351.631;317.568;316.276
260;408.857;377.396;337.915;301.125;300.216
270;402.759;368.308;326.054;287.94;287.303
280;397.405;361.279;317.894;279.922;279.358
290;393.617;357.222;314.307;277.764;277.053
300;392.134;356.429;315.146;280.873;279.768
310;392.502;357.361;318.281;286.811;284.978
320;392.868;356.408;319.451;291.085;288.041
330;389.81;347.725;312.67;287.944;282.986
340;378.927;324.537;292.251;272.589;264.93
350;354.791;281.816;255.185;242.68;232.068
360;313.067;223.225;205.653;201.367;188.843
370;255.979;163.391;154.997;157.087;144.796
380;193.025;114.61;112.41;117.486;107.272
390;137.336;81.1149;81.7814;87.0824;79.6255
400;94.6661;59.8459;61.3251;65.4732;60.6398
410;65.8727;47.5381;48.8542;51.4525;48.7674
420;46.6912;42.9082;43.4419;44.0769;43.5381
430;-nan;-nan;-nan;-nan;-nan
