10;399.598;399.598
20;402.061;402.066
30;404.5;404.512
40;406.76;406.784
50;408.795;408.829
60;410.757;410.801
70;412.634;412.69
80;414.344;414.411
90;415.993;416.072
100;417.501;417.594
110;418.861;418.965
120;420.162;420.275
130;421.396;421.515
140;422.542;422.666
150;423.646;423.773
160;424.632;424.761
170;425.57;425.7
180;426.448;426.577
190;427.278;427.406
200;428.022;428.148
210;428.73;428.852
220;429.388;429.506
230;429.986;430.098
240;430.578;430.683
250;431.135;431.233
260;431.644;431.736
270;432.103;432.188
280;432.568;432.646
290;432.969;433.04
300;433.358;433.42
310;433.747;433.802
320;434.081;434.128
330;434.366;434.406
340;434.64;434.673
350;434.908;434.931
360;435.17;435.184
370;435.404;435.409
380;435.608;435.603
390;435.822;435.808
400;436.001;435.977
410;436.174;436.14
420;436.328;436.283
430;436.466;436.411
440;436.581;436.514
450;436.717;436.637
460;436.845;436.753
470;436.958;436.852
480;437.062;436.943
490;437.152;437.019
500;437.226;437.081
510;437.29;437.129
520;437.358;437.182
530;437.411;437.219
540;437.482;437.271
550;437.524;437.297
560;437.565;437.319
570;437.601;437.338
580;437.633;437.349
590;437.672;437.369
600;437.707;437.383
610;437.735;437.389
620;437.761;437.391
630;437.781;437.388
640;437.798;437.381
650;437.81;437.369
660;437.814;437.347
670;437.819;437.328
680;437.824;437.306
690;437.815;437.272
700;437.808;437.238
710;437.79;437.192
720;437.772;437.147
730;437.758;437.104
740;437.744;437.065
750;437.719;437.015
760;437.692;436.963
770;437.664;436.911
780;437.63;436.854
790;437.599;436.802
800;437.562;436.745
810;437.524;436.689
820;437.488;436.637
830;437.452;436.587
840;437.413;436.537
850;437.378;436.495
860;437.344;436.457
870;437.314;436.425
880;437.285;436.396
890;437.256;436.371
900;437.236;436.357
910;437.22;436.349
920;437.205;436.344
930;437.198;436.347
940;437.193;436.354
950;437.195;436.365
960;437.2;436.38
970;437.209;436.396
980;437.221;436.411
990;437.235;436.424
1000;437.252;436.432
1010;437.268;436.431
1020;437.284;436.419
1030;437.296;436.391
1040;437.303;436.342
1050;437.304;436.267
1060;437.296;436.154
1070;437.278;436.002
1080;437.246;435.797
1090;437.199;435.534
1100;437.137;435.214
1110;437.051;434.796
1120;436.938;434.264
1130;436.795;433.606
1140;436.626;432.831
1150;436.414;431.867
1160;436.164;430.732
1170;435.864;429.378
1180;435.5;427.748
1190;435.076;425.87
1200;434.575;423.68
1210;434.001;421.213
1220;433.303;418.275
1230;432.522;415.067
1240;431.608;411.42
1250;430.58;407.452
1260;429.401;403.069
1270;428.034;398.195
1280;426.497;392.957
1290;424.815;387.495
1300;422.916;381.635
1310;420.767;375.364
1320;418.393;368.822
1330;415.775;362.022
1340;412.853;354.887
1350;409.768;347.822
1360;406.343;340.452
1370;402.599;332.897
1380;398.558;325.253
1390;394.185;317.504
1400;389.418;309.585
1410;384.401;301.798
1420;378.956;293.859
1430;373.014;285.728
1440;366.744;277.682
1450;360.24;269.847
1460;353.376;262.051
1470;346.072;254.248
1480;338.506;246.602
1490;330.4;238.85
1500;322.254;231.468
1510;313.904;224.241
1520;305.087;216.975
1530;295.911;209.757
1540;286.645;202.786
1550;277.011;195.834
1560;267.229;189.035
1570;257.484;182.503
1580;247.609;176.122
1590;237.673;169.893
1600;227.706;163.817
1610;217.953;158.042
1620;208.212;152.401
1630;198.604;146.964
1640;189.093;141.689
1650;179.672;136.538
1660;170.736;131.761
1670;161.7;126.962
1680;153.079;122.455
1690;144.849;118.188
1700;136.776;114.058
1710;129.009;110.153
1720;121.824;106.586
1730;114.699;103.105
1740;107.985;99.9567
1750;101.563;97.1289
1760;95.4926;-nan
1770;-nan;-nan
