10;404.909
20;411.485
30;416.873
40;421.455
50;425.071
60;427.842
70;430.271
80;432.159
90;433.598
100;434.811
110;435.64
120;436.363
130;436.845
140;437.221
150;437.516
160;437.672
170;437.786
180;437.819
190;437.808
200;437.744
210;437.633
220;437.496
230;437.333
240;437.173
250;437.078
260;437.029
270;437.044
280;437.088
290;437.123
300;437.078
310;436.862
320;436.362
330;435.419
340;433.784
350;431.063
360;426.965
370;420.923
380;412.331
390;400.962
400;386.024
410;367.087
420;344.781
430;318.233
440;289.093
450;257.443
460;225.169
470;193.86
480;163.974
490;136.482
500;112.502
510;92.1295
520;74.7853
530;60.4645
540;48.8358
550;39.5421
560;32.5817
570;27.0522
580;22.7721
590;19.4519
600;16.8204
610;14.7487
620;13.244
630;12.0638
640;11.1481
650;10.4168
660;9.85456
670;9.44561
680;9.09732
690;8.8413
700;8.65491
710;8.53027
720;8.43166
730;8.39513
740;8.39638
750;8.43064
760;8.52398
770;8.64585
780;8.82747
790;9.07339
800;9.34661
810;9.67809
820;10.091
830;10.5842
840;11.1462
850;11.758
860;12.3621
870;13.0152
880;13.5799
890;14.0509
900;14.3486
910;14.4109
920;14.1782
930;13.6399
940;12.8323
950;11.8205
960;10.6668
970;9.42524
980;8.23515
990;7.21097
