10;404.909;404.928
20;411.485;411.561
30;416.873;417.026
40;421.455;421.724
50;425.071;425.474
60;427.842;428.354
70;430.271;430.879
80;432.159;432.848
90;433.598;434.335
100;434.811;435.548
110;435.64;436.343
120;436.363;436.975
130;436.845;437.329
140;437.221;437.528
150;437.516;437.585
160;437.672;437.471
170;437.786;437.256
180;437.819;436.926
190;437.808;436.489
200;437.744;435.991
210;437.633;435.468
220;437.496;434.952
230;437.333;434.496
240;437.173;434.161
250;437.078;434.022
260;437.029;434.036
270;437.044;434.164
280;437.088;434.291
290;437.123;434.267
300;437.078;433.88
310;436.862;432.827
320;436.362;430.707
330;435.419;426.943
340;433.784;420.806
350;431.063;411.351
360;426.965;398.441
370;420.923;381.559
380;412.331;360.758
390;400.962;337.191
400;386.024;310.786
410;367.087;282.4
420;344.781;253.802
430;318.233;224.486
440;289.093;196.249
450;257.443;168.94
460;225.169;143.678
470;193.86;120.88
480;163.974;100.298
490;136.482;82.1738
500;112.502;66.8429
510;92.1295;54.0131
520;74.7853;43.219
530;60.4645;34.4224
540;48.8358;27.3579
550;39.5421;21.8056
560;32.5817;17.6953
570;27.0522;14.5391
580;22.7721;12.195
590;19.4519;10.511
600;16.8204;9.33264
610;14.7487;8.62354
620;13.244;8.33706
630;12.0638;8.38147
640;11.1481;8.7457
650;10.4168;9.4241
660;9.85456;10.4045
670;9.44561;11.624
680;9.09732;13.182
690;8.8413;14.9724
700;8.65491;16.9623
710;8.53027;19.0858
720;8.43166;21.1626
730;8.39513;23.0936
740;8.39638;24.7012
750;8.43064;25.7824
760;8.52398;26.2601
770;8.64585;25.944
780;8.82747;24.8926
790;9.07339;23.1898
800;9.34661;20.8864
810;9.67809;18.2586
820;10.091;15.5881
830;10.5842;13.1142
840;11.1462;10.9358
850;11.758;9.16152
860;12.3621;7.78237
870;13.0152;6.89282
880;13.5799;-nan
890;14.0509;-nan
900;14.3486;-nan
910;14.4109;-nan
920;14.1782;-nan
930;13.6399;-nan
940;12.8323;-nan
950;11.8205;-nan
960;10.6668;-nan
970;9.42524;-nan
980;8.23515;-nan
990;7.21097;-nan
1000;6.473;-nan
1010;-nan;-nan
